path,module,size,last_modified,ext
"app\src\main\java\com\bangersoul\aivance\worker\ProviderRefreshWorker.kt","app",3920,2026-07-30 20:00:14,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\ResumeAnalysisWorker.kt","app",2555,2026-07-30 20:00:14,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\SecurityMigrationWorker.kt","app",4020,2026-08-02 01:05:09,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\SyncManager.kt","app",9221,2026-07-30 20:00:14,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\SyncWorker.kt","app",2129,2026-07-30 20:00:14,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\UploadManager.kt","app",10500,2026-08-02 17:55:06,"kt"
"app\src\main\keepRules\rules.keep","app",429,2026-07-30 20:00:14,"keep"
"app\src\main\res\drawable\ic_launcher_background.xml","app",340,2026-07-30 20:00:14,"xml"
"app\src\main\res\drawable\ic_launcher_foreground.xml","app",2066,2026-07-30 20:00:14,"xml"
"app\src\main\res\mipmap-anydpi\ic_launcher.xml","app",348,2026-07-30 20:00:14,"xml"
"app\src\main\res\mipmap-anydpi\ic_launcher_round.xml","app",348,2026-07-30 20:00:14,"xml"
"app\src\main\res\mipmap-hdpi\ic_launcher.webp","app",1404,2026-07-30 20:00:14,"webp"
"app\src\main\res\mipmap-hdpi\ic_launcher_round.webp","app",2898,2026-07-30 20:00:14,"webp"
"app\src\main\res\mipmap-mdpi\ic_launcher.webp","app",982,2026-07-30 20:00:14,"webp"
"app\src\main\res\mipmap-mdpi\ic_launcher_round.webp","app",1772,2026-07-30 20:00:14,"webp"
"app\src\main\res\mipmap-xhdpi\ic_launcher.webp","app",1900,2026-07-30 20:00:14,"webp"
"app\src\main\res\mipmap-xhdpi\ic_launcher_round.webp","app",3918,2026-07-30 20:00:14,"webp"
"app\src\main\res\mipmap-xxhdpi\ic_launcher.webp","app",2884,2026-07-30 20:00:14,"webp"
"app\src\main\res\mipmap-xxhdpi\ic_launcher_round.webp","app",5914,2026-07-30 20:00:14,"webp"
"app\src\main\res\mipmap-xxxhdpi\ic_launcher.webp","app",3844,2026-07-30 20:00:14,"webp"
"app\src\main\res\mipmap-xxxhdpi\ic_launcher_round.webp","app",7778,2026-07-30 20:00:14,"webp"
"app\src\main\res\raw\keep_rules.xml","app",2333,2026-07-30 20:00:14,"xml"
"app\src\main\res\values\colors.xml","app",153,2026-08-01 17:14:05,"xml"
"app\src\main\res\values\strings.xml","app",1376,2026-08-02 17:50:11,"xml"
"app\src\main\res\values\themes.xml","app",103,2026-07-30 20:00:14,"xml"
"app\src\main\res\values-hi\strings.xml","app",1807,2026-08-02 17:50:11,"xml"
"app\src\main\res\xml\backup_rules.xml","app",834,2026-07-31 20:54:50,"xml"
"app\src\main\res\xml\data_extraction_rules.xml","app",1405,2026-07-31 20:54:50,"xml"
"app\src\main\res\xml\file_paths.xml","app",97,2026-08-01 18:01:10,"xml"
"app\src\main\res\xml\network_security_config.xml","app",1878,2026-07-30 20:00:14,"xml"
"app\src\test\java\com\bangersoul\aivance\ExampleUnitTest.kt","app",362,2026-07-30 20:00:14,"kt"
"app\src\test\java\com\bangersoul\aivance\worker\SyncManagerBehavioralTest.kt","app",5782,2026-07-31 20:17:21,"kt"
"app\src\test\java\com\bangersoul\aivance\worker\WorkerTests.kt","app",14151,2026-08-01 17:18:02,"kt"
"build\reports\configuration-cache\10qewrkx8fidjs9fagb05nm02\er2l9f606m1vw8uq9atbq2sox\configuration-cache-report.html","build",401285,2026-08-02 15:37:42,"html"
"build\reports\configuration-cache\12djeyt0itey57s19awhc7crc\1yvli1wcvrj6s4mz4vd3l5219\configuration-cache-report.html","build",349114,2026-07-31 03:18:07,"html"
"build\reports\configuration-cache\12djeyt0itey57s19awhc7crc\ehmwtux6hrw5wmgy3m0sv1gcc\configuration-cache-report.html","build",133065,2026-07-31 03:15:19,"html"
"build\reports\configuration-cache\14yq4k3mfcr25wflrz9rc2adu\e32g6ndfzb00ke1s1bpy8lim3\configuration-cache-report.html","build",361291,2026-08-02 13:58:47,"html"
"build\reports\configuration-cache\16rlzvil03a86yffhr13jmrx1\6u87mnu96k1wodakuvg2mf5fy\configuration-cache-report.html","build",368971,2026-07-31 19:32:53,"html"
"build\reports\configuration-cache\1bstti9zpy5d7ides8kzt1f2g\74e9hfvxd59cs01rhhh8kc04p\configuration-cache-report.html","build",356852,2026-07-31 18:33:11,"html"
"build\reports\configuration-cache\1fujfwodd1vrbedw8ex4kp240\aks5sdd8htjgr7kfg3a685ztj\configuration-cache-report.html","build",413247,2026-08-01 09:26:28,"html"
"build\reports\configuration-cache\1nhp4oubyd91s23bse65g3d14\e4q7wgrzq1yom46w3jlv80iru\configuration-cache-report.html","build",373564,2026-07-31 19:44:26,"html"
"build\reports\configuration-cache\1ontbf9ewopo5ezplb2uyivhw\4zckb1tvn1d5q3k1sghkru71l\configuration-cache-report.html","build",409981,2026-08-01 17:11:47,"html"
"build\reports\configuration-cache\1s1ladiia1zkhx29d5x2xijin\9qattusx9tqvi7xcm6otq3icp\configuration-cache-report.html","build",365994,2026-08-02 14:33:55,"html"
"build\reports\configuration-cache\1s1ladiia1zkhx29d5x2xijin\qfy7nvxtqr40v54njtdt22o4\configuration-cache-report.html","build",368356,2026-07-31 18:05:53,"html"
"build\reports\configuration-cache\1scjv5m6jd2pvi3q3ugllw78g\4yvkncu5fbkgk3185akkt4c9d\configuration-cache-report.html","build",410169,2026-08-01 20:50:12,"html"
"build\reports\configuration-cache\1v4cf21t0zqskiij9vub9wd0l\7ein79arppdk2q32bwhyyyayw\configuration-cache-report.html","build",368588,2026-08-01 17:31:47,"html"
"build\reports\configuration-cache\1wn83w6dx51wzgtr13l5794ch\1wllux3i2b2l0bk71mroiwtn2\configuration-cache-report.html","build",409675,2026-08-01 16:40:07,"html"
"build\reports\configuration-cache\21a9o7unjp9iz4c3m5iyfsdfp\dsj39qh0e5u0aeipsx8yhzl8y\configuration-cache-report.html","build",409597,2026-08-02 14:05:24,"html"
"build\reports\configuration-cache\23s3mn8q2m2qv8z215wdhdeps\bmqqzli51rw3z4x5mfjgdyi7d\configuration-cache-report.html","build",413089,2026-08-02 15:30:46,"html"
"build\reports\configuration-cache\24mozjz3l7dppt94rsv3f8184\bakmovkmhphnljswvzdg1vzte\configuration-cache-report.html","build",373393,2026-08-01 19:49:04,"html"
"build\reports\configuration-cache\2b1a40z4p4q3iy4ekucl2abw1\99wcctiaiik0sxvj4hz2bnewp\configuration-cache-report.html","build",369273,2026-07-31 17:48:11,"html"
"build\reports\configuration-cache\2bom65xs49cny99gygfqvsgqo\9laqypc2zrpnlj7n327rsnoby\configuration-cache-report.html","build",371203,2026-07-31 23:41:52,"html"
"build\reports\configuration-cache\2gdon8nfabiwjtv7mzctcunjz\bbebkkirz52kwx7shkwxofm8r\configuration-cache-report.html","build",356802,2026-07-31 20:00:38,"html"
"build\reports\configuration-cache\2joahu7dkjnvw84cylr800c30\7yzmm1ggv9iy74m9505e03fjy\configuration-cache-report.html","build",373452,2026-08-01 18:42:48,"html"
"build\reports\configuration-cache\2lal1c19n4fcnp1dn71pu1ypj\28g3r8vp2z2wrf6zly0y5ynu5\configuration-cache-report.html","build",356892,2026-07-31 18:25:22,"html"
"build\reports\configuration-cache\2ma2vdutdu5hli406tbbgy344\9f71qc6ngn1hf8s0mst0ije\configuration-cache-report.html","build",410091,2026-07-31 18:24:55,"html"
"build\reports\configuration-cache\2ma2vdutdu5hli406tbbgy344\a11f8zwc337m8ax3yly8yu7os\configuration-cache-report.html","build",410020,2026-08-01 17:08:29,"html"
"build\reports\configuration-cache\2ma2vdutdu5hli406tbbgy344\vbljueyrsvz8m8zynm1ozqj6\configuration-cache-report.html","build",410013,2026-07-31 18:17:21,"html"
"build\reports\configuration-cache\2zell45tv3y5nyl3gdkpjxu6r\19vwv7d25vfidv25ipstbq1ap\configuration-cache-report.html","build",373596,2026-08-01 13:35:04,"html"
"build\reports\configuration-cache\32t14twbyi7ru6ls4fw1bqo3h\f35rnapymb78o6e4zgq1ye884\configuration-cache-report.html","build",397524,2026-08-01 18:44:42,"html"
"build\reports\configuration-cache\36go3at7fu4tcz1w0aavu3rci\9i0d1j9mjwv1pi95ezspq39r5\configuration-cache-report.html","build",338601,2026-08-02 17:52:00,"html"
"build\reports\configuration-cache\36reniaxv8xejjpyx0fr24hip\8gjs5pqljfgakpa5vodgj4p00\configuration-cache-report.html","build",344225,2026-07-31 10:28:34,"html"
"build\reports\configuration-cache\3dludcsceoq7zuykgsjorohfi\3g5z9uhgbdf80ml9kaqhh4fj1\configuration-cache-report.html","build",361247,2026-07-31 17:54:15,"html"
"build\reports\configuration-cache\3eunxhev1fvrjerfxtschox7u\1e75caefrfdgmp7hfqbwsp3pg\configuration-cache-report.html","build",373028,2026-08-01 18:32:13,"html"
"build\reports\configuration-cache\3i5aia62vvzt1hprj8pygmhgv\7xeoa5iicl2ydzwszmf5lm8vl\configuration-cache-report.html","build",397600,2026-07-31 17:45:41,"html"
"build\reports\configuration-cache\3kid0bjzs4w58f7mmylf1a3hk\3qpblvwop84h4vwuzly95t046\configuration-cache-report.html","build",409734,2026-08-02 21:34:05,"html"
"build\reports\configuration-cache\3kid0bjzs4w58f7mmylf1a3hk\etsbbco79bu6oqac9w69y4mkf\configuration-cache-report.html","build",409733,2026-07-31 20:13:56,"html"
"build\reports\configuration-cache\3kid0bjzs4w58f7mmylf1a3hk\eupny7xb1id7ragzmvock68ju\configuration-cache-report.html","build",409764,2026-08-01 17:16:54,"html"
"build\reports\configuration-cache\3mlab83knptj4y5t5h11rrvhf\d2uh6mb645iucy93gle6uzgxd\configuration-cache-report.html","build",413007,2026-07-31 23:25:21,"html"
"build\reports\configuration-cache\3n2ibvxttz7c0vlhc3y9hraae\2sds5o2k3s6tzez3q9x8btsjz\configuration-cache-report.html","build",410067,2026-07-31 19:44:12,"html"
"build\reports\configuration-cache\3oce5m4dg2xeqjllcp2jqwopb\bzp7zl7yhgu8wot12s4uadre7\configuration-cache-report.html","build",403265,2026-08-02 14:50:08,"html"
"build\reports\configuration-cache\3ot2kjopxxv4ceizp9oogwua4\cxycwanclmmre1k6v53gtx0pw\configuration-cache-report.html","build",338603,2026-08-02 17:51:09,"html"
"build\reports\configuration-cache\3otcbm6jqs3bhxruw1ir24cqp\1k2lhy1g50ejmhsscknnwxojs\configuration-cache-report.html","build",365973,2026-07-31 17:57:17,"html"
"build\reports\configuration-cache\3pscpalhwoho7bifikpxnpz2f\11f9b4rtx2yqu1lh32gcj9ty6\configuration-cache-report.html","build",409521,2026-07-31 19:25:54,"html"
"build\reports\configuration-cache\3pscpalhwoho7bifikpxnpz2f\4fr2e3vhzmkn9m4j26jivj7zs\configuration-cache-report.html","build",409536,2026-08-01 19:42:41,"html"
"build\reports\configuration-cache\3pscpalhwoho7bifikpxnpz2f\dza5eks9jx2yy53bsigxfe206\configuration-cache-report.html","build",412797,2026-08-02 01:07:04,"html"
"build\reports\configuration-cache\3rrr3mf4g7yedbg5bby4h1ghp\77atoa58tfeetlthr1m85r173\configuration-cache-report.html","build",399790,2026-08-01 13:22:27,"html"
"build\reports\configuration-cache\3rrr3mf4g7yedbg5bby4h1ghp\7r3bazr1tslix1su0ndklwk8y\configuration-cache-report.html","build",400015,2026-08-01 13:17:44,"html"
"build\reports\configuration-cache\3t28ftvldd6zgv2p953l9l5jw\11thbogsvndhgrolb4z0hyvpw\configuration-cache-report.html","build",318145,2026-07-30 20:10:13,"html"
"build\reports\configuration-cache\3t28ftvldd6zgv2p953l9l5jw\4xmdxb45jw6dhscfbjsy9u6xq\configuration-cache-report.html","build",338908,2026-08-02 01:43:43,"html"
"build\reports\configuration-cache\3t28ftvldd6zgv2p953l9l5jw\9zdj78m9iuehbcyw1xdogidlb\configuration-cache-report.html","build",318278,2026-07-30 20:05:39,"html"
"build\reports\configuration-cache\3ztnaiz268ib3fbgnongq3egq\4y1fhyc79d533kr5qglhu8mo2\configuration-cache-report.html","build",338661,2026-07-31 20:56:49,"html"
"build\reports\configuration-cache\414a2rfvirvp9vk7tp8hxlzgk\gnj662hmtzpe20py0tbmxkcc\configuration-cache-report.html","build",410644,2026-07-31 16:52:56,"html"
"build\reports\configuration-cache\4b7rawi7cyotnlmmqol2wzf0e\3563qyk9722864j4n1k6ia84l\configuration-cache-report.html","build",370815,2026-08-01 18:06:45,"html"
"build\reports\configuration-cache\4b7rawi7cyotnlmmqol2wzf0e\bfj1d695pqwfjjou37l89hhg1\configuration-cache-report.html","build",370799,2026-08-01 20:55:40,"html"
"build\reports\configuration-cache\4dmjh6dzz24a7amy0c0zydrca\795pus5sn4g2i6hkmgipjgecn\configuration-cache-report.html","build",399655,2026-08-01 18:28:19,"html"
"build\reports\configuration-cache\4dsop3ib0gstu4lhb67lsq39c\562lv73pvs95cldhomtlnbvjl\configuration-cache-report.html","build",410247,2026-08-01 07:46:17,"html"
"build\reports\configuration-cache\4og94rwabbsoutf4muwaqq2pd\5sryukhe3bz9f28punh3ld5er\configuration-cache-report.html","build",397461,2026-08-01 19:19:24,"html"
"build\reports\configuration-cache\4og94rwabbsoutf4muwaqq2pd\6wu06u03wjnzzkqsp550jnv1\configuration-cache-report.html","build",397375,2026-08-02 17:30:28,"html"
"build\reports\configuration-cache\4og94rwabbsoutf4muwaqq2pd\e27e9ykuwubgxbrz4p1qz669c\configuration-cache-report.html","build",398037,2026-07-31 16:41:40,"html"
"build\reports\configuration-cache\4oqns66wzfyqyoheg8v7tzb70\7xasdm1439sh4aoydfqjcdkvh\configuration-cache-report.html","build",409685,2026-08-02 17:50:59,"html"
"build\reports\configuration-cache\4p4bd7eaes5ljp13bxrvemrfn\7wdtrkagbthxduryi7lcnvx18\configuration-cache-report.html","build",373809,2026-07-31 19:22:14,"html"
"build\reports\configuration-cache\4p4bd7eaes5ljp13bxrvemrfn\pr54ovgz1l6t57bkt95anlwn\configuration-cache-report.html","build",373894,2026-07-31 19:07:49,"html"
"build\reports\configuration-cache\4twv9tnn4n32k625vqqr189uq\d26eur0zkxkiu6g5yunobey3b\configuration-cache-report.html","build",371148,2026-07-31 22:41:03,"html"
"build\reports\configuration-cache\4twv9tnn4n32k625vqqr189uq\eik4q2xnkwmu702vtqip2l2at\configuration-cache-report.html","build",371147,2026-07-31 18:55:37,"html"
"build\reports\configuration-cache\4zhqbo69674ex7aqsp8073ngv\6bv1ee5d0k5cua4sgctvx05x\configuration-cache-report.html","build",409833,2026-08-01 17:17:48,"html"
"build\reports\configuration-cache\50v2aopro3d8rnxchxsselbh0\49icbtw4at03g9qd7b0myddll\configuration-cache-report.html","build",403153,2026-08-02 15:00:39,"html"
"build\reports\configuration-cache\51ej9nn2envfeslgp2ohabqmb\daer9p8gs2ba0zvt408d0zrtj\configuration-cache-report.html","build",340112,2026-07-30 20:03:40,"html"
"build\reports\configuration-cache\51ej9nn2envfeslgp2ohabqmb\eqvlcgq7lam6sg0m5mtjvmrai\configuration-cache-report.html","build",398287,2026-07-30 20:20:31,"html"
"build\reports\configuration-cache\52c90gqbt5ouf4rw5w2at3ezl\94vc28hw1fa6z1c33s3hnymvd\configuration-cache-report.html","build",375830,2026-08-01 19:39:13,"html"
"build\reports\configuration-cache\52clrqf44rb2worxv7cuaiqi3\69a0p1ovfzibl94dxki5bw3it\configuration-cache-report.html","build",376492,2026-08-02 15:34:56,"html"
"build\reports\configuration-cache\531nryny4ac6rqzyogizlnp2y\6phxeqd0poe2zhvlcu6f7bt1s\configuration-cache-report.html","build",397594,2026-08-01 18:50:29,"html"
"build\reports\configuration-cache\53kxs3xgk0fu1l6leu4ourtgs\7c51sm4qf0esb9p717et9e7z\configuration-cache-report.html","build",397592,2026-08-01 16:35:18,"html"
"build\reports\configuration-cache\5796ceq81j5ruxoaj7peypimz\4un4nljlr0ypge12w6ltslhrw\configuration-cache-report.html","build",361831,2026-08-02 14:07:06,"html"
"build\reports\configuration-cache\581zyef13ks3j2f0wur10tapd\31abuqnaiborp07hlugfamgoh\configuration-cache-report.html","build",410097,2026-08-01 14:33:01,"html"
"build\reports\configuration-cache\59svzklwteze5196qu7ccje07\cqirl4bkbmnamynfsoj3penkb\configuration-cache-report.html","build",409659,2026-08-02 13:27:15,"html"
"build\reports\configuration-cache\5dfzrbr12dbi6tggutj2ovm2m\14six4h6mfbxh7aasgrl99z28\configuration-cache-report.html","build",371271,2026-07-31 19:12:34,"html"
"build\reports\configuration-cache\5dk2q942aw55yop6ira5zpoc7\4xug7q4vt1dsmz46s7uun08uw\configuration-cache-report.html","build",397454,2026-07-31 21:27:39,"html"
"build\reports\configuration-cache\5dk2q942aw55yop6ira5zpoc7\570jwei4jf156fr15l5gkte5s\configuration-cache-report.html","build",397441,2026-08-01 16:46:01,"html"
"build\reports\configuration-cache\5f854jq3zq224lt0oi4swtvje\6pf6b0o7qv1fpkjgdtk1i0zjz\configuration-cache-report.html","build",375952,2026-07-31 20:27:33,"html"
"build\reports\configuration-cache\5joijorwz54oyhx2k00yuz5ac\c67hn64qrviqy11bx45y1rjdl\configuration-cache-report.html","build",371283,2026-08-01 14:23:39,"html"
"build\reports\configuration-cache\5lm904qb861uo75srmw2wlb58\efzhgmnv1fh0oo5lkfyuoa1sl\configuration-cache-report.html","build",397448,2026-08-01 18:17:02,"html"
"build\reports\configuration-cache\5mu69vtic2ifs1h0yyhb3vi9t\day5s89vdmebmu4t8d4codn4b\configuration-cache-report.html","build",373463,2026-08-01 19:37:44,"html"
"build\reports\configuration-cache\5n2dfe0u6xv9wfo5hcdfyoe4c\bl2olvi6vr7snzqf5ddb1aq2e\configuration-cache-report.html","build",410013,2026-07-31 20:46:47,"html"
"build\reports\configuration-cache\5r9io3b3hlzzok7jhp3jm7nc2\1d3yzll94c715pssdljxjq7ik\configuration-cache-report.html","build",413299,2026-08-01 20:46:28,"html"
"build\reports\configuration-cache\5txz5cfyhgdbruvtamxeucyut\5e7nob5059w9tjocp19cc2hry\configuration-cache-report.html","build",410151,2026-08-02 14:02:28,"html"
"build\reports\configuration-cache\5utnvgb30chddvcie7kx5l6gi\29dicio64ykegojjn9hdt710n\configuration-cache-report.html","build",410678,2026-08-01 10:51:33,"html"
"build\reports\configuration-cache\5utnvgb30chddvcie7kx5l6gi\3pzo4lrnihbcnzqo4owkhz7wo\configuration-cache-report.html","build",410007,2026-07-31 21:07:54,"html"
"build\reports\configuration-cache\5utnvgb30chddvcie7kx5l6gi\82xyibjo6m2qdhnovclta090l\configuration-cache-report.html","build",380318,2026-07-30 23:47:46,"html"
"build\reports\configuration-cache\5utnvgb30chddvcie7kx5l6gi\8gnbnpr0n8nipmxqwlx5thows\configuration-cache-report.html","build",380354,2026-07-30 23:50:59,"html"
"build\reports\configuration-cache\5utnvgb30chddvcie7kx5l6gi\9uztsutar6uiai7ufheenmq50\configuration-cache-report.html","build",410637,2026-07-31 16:59:17,"html"
"build\reports\configuration-cache\5utnvgb30chddvcie7kx5l6gi\d4eb9fe2546q271zz5w6zf14t\configuration-cache-report.html","build",410731,2026-08-01 08:46:52,"html"
"build\reports\configuration-cache\5utnvgb30chddvcie7kx5l6gi\d53rlp31l3yhefs6a329qma9t\configuration-cache-report.html","build",413987,2026-08-02 06:46:37,"html"
